x;new_x;absoluteError;relativeError;standart;converted
42,4000000000008;0,0115008234614314;0;0;-0,999933866258813;-0,999933866258813
42,5000000000008;0,0884991765385697;3,33066907387547E-16;3,34375484804236E-16;-0,996086503119526;-0,996086503119525
42,6000000000008;0,188499176538571;6,66133814775094E-16;6,78146106391442E-16;-0,982286572903489;-0,982286572903489
42,7000000000008;0,288499176538572;8,88178419700125E-16;9,26467505886797E-16;-0,958671959951772;-0,958671959951771
42,8000000000008;0,388499176538573;1,11022302462516E-15;1,19962039989375E-15;-0,925478613671035;-0,925478613671033
42,9000000000008;0,488499176538574;1,22124532708767E-15;1,38300397369867E-15;-0,883038191005052;-0,883038191005051
43,0000000000008;0,588499176538575;1,22124532708767E-15;1,4682404556177E-15;-0,831774742628164;-0,831774742628163
43,1000000000008;0,688499176538576;1,11022302462516E-15;1,43773936843143E-15;-0,772200475971111;-0,77220047597111
43,2000000000008;0,782297150256319;1,11022302462516E-15;1,57498406989367E-15;-0,704910637413694;-0,704910637413693
43,3000000000008;0,682297150256318;8,88178419700125E-16;1,40851573114625E-15;-0,630577564779716;-0,630577564779715
43,4000000000008;0,582297150256317;6,66133814775094E-16;1,21127578743782E-15;-0,549943969559689;-0,549943969559688
43,5000000000008;0,482297150256316;3,88578058618805E-16;8,37785811876418E-16;-0,463815515983129;-0,463815515983128
43,6000000000008;0,382297150256315;1,11022302462516E-16;2,97604819121848E-16;-0,37305277108789;-0,37305277108789
43,7000000000008;0,282297150256314;2,77555756156289E-16;9,96385551972783E-16;-0,278562606218793;-0,278562606218793
43,8000000000008;0,182297150256313;6,38378239159465E-16;3,52132650475573E-15;-0,181289135868912;-0,181289135868913
43,9000000000008;0,0822971502563119;9,85322934354826E-16;1,19862722673249E-14;-0,0822042843996503;-0,0822042843996513
44,0000000000008;0,0177028497436947;4,23619472833536E-15;2,39307007736036E-13;0,0177019251062093;0,0177019251062135
44,1000000000008;0,117702849743696;3,85802501057242E-15;3,28534746000887E-14;0,117431262827886;0,11743126282789
44,2000000000008;0,217702849743697;3,44169137633799E-15;1,59346957673248E-14;0,215987266189001;0,215987266189005
44,3000000000008;0,317702849743698;2,99760216648792E-15;9,59585218224943E-15;0,312385196182254;0,312385196182257
44,4000000000008;0,417702849743699;2,60902410786912E-15;6,43152403183366E-15;0,40566187655607;0,405661876556072
44,5000000000008;0,5177028497437;2,16493489801906E-15;4,37461937388305E-15;0,494885317553326;0,494885317553328
44,6000000000008;0,617702849743701;1,77635683940025E-15;3,06710491913088E-15;0,579164028044925;0,579164028044927
44,7000000000008;0,717702849743702;1,22124532708767E-15;1,85696697064613E-15;0,657655923014474;0,657655923014476
44,8000000000008;0,753093477051193;9,99200722162641E-16;1,36956220086256E-15;0,729576737393407;0,729576737393408
44,9000000000008;0,653093477051192;6,66133814775094E-16;8,38739889766461E-16;0,794207862178311;0,794207862178312
45,0000000000008;0,553093477051191;3,33066907387547E-16;3,91427344915205E-16;0,850903524534544;0,850903524534544
45,1000000000008;0,45309347705119;2,22044604925031E-16;2,46963948959778E-16;0,899097240144937;0,899097240144937
45,2000000000008;0,353093477051189;1,11022302462516E-16;1,18321878081233E-16;0,938307473333834;0,938307473333835
45,3000000000008;0,253093477051188;1,11022302462516E-16;1,14675585854721E-16;0,968142448412394;0,968142448412394
45,4000000000008;0,153093477051187;1,11022302462516E-16;1,12336179205695E-16;0,988304064171762;0,988304064171761
45,5000000000008;0,0530934770511803;2,22044604925031E-16;2,22357935626575E-16;0,998590872411814;0,998590872411814
45,6000000000008;0,0469065229488208;2,22044604925031E-16;2,22289102766454E-16;0,998900090744983;0,998900090744983
45,7000000000008;0,146906522948822;5,55111512312578E-16;5,61155930714723E-16;0,989228629563897;0,989228629563897
45,8000000000008;0,246906522948823;8,88178419700125E-16;9,15956520516025E-16;0,969673122911719;0,969673122911718
45,9000000000008;0,346906522948824;9,99200722162641E-16;1,0624946290805E-15;0,940428962946726;0,940428962946725
46,0000000000008;0,446906522948825;1,22124532708767E-15;1,35424828927126E-15;0,901788347648453;0,901788347648452
46,1000000000008;0,546906522948826;1,22124532708767E-15;1,42979968148082E-15;0,854137361272072;0,854137361272071
46,2000000000008;0,646906522948827;1,22124532708767E-15;1,53047445015168E-15;0,797952116722134;0,797952116722133
46,3000000000008;0,746906522948828;1,22124532708767E-15;1,66428906446155E-15;0,733793998389809;0,733793998389808
46,4000000000008;0,723889803846067;9,99200722162641E-16;1,50867372418803E-15;0,66230405298562;0,662304052985619
46,5000000000008;0,623889803846066;8,88178419700125E-16;1,52034168531327E-15;0,584196584412611;0,58419658441261
46,6000000000008;0,523889803846065;6,66133814775094E-16;1,33159646051771E-15;0,500252016677867;0,500252016677866
46,7000000000008;0,423889803846064;3,33066907387547E-16;8,09772773084981E-16;0,411309096153809;0,411309096153809
46,8000000000008;0,323889803846063;0;0;0,318256511101693;0,318256511101693
46,9000000000008;0,223889803846062;3,33066907387547E-16;1,50013912503807E-15;0,222024012192265;0,222024012192265
47,0000000000008;0,123889803846061;7,07767178198537E-16;5,72751713706007E-15;0,123573122744392;0,123573122744393
47,1000000000008;0,0238898038460542;4,51375048449165E-15;1,88958431478504E-13;0,0238875315019007;0,0238875315018961
47,2000000000008;0,0761101961539469;4,16333634234434E-15;5,47542748166258E-14;-0,0760367360591896;-0,0760367360591937
47,3000000000008;0,176110196153948;3,7470027081099E-15;2,13868467664815E-14;-0,17520126968798;-0,175201269687983
47,4000000000008;0,276110196153949;3,27515792264421E-15;1,2013847064372E-14;-0,272615250143887;-0,272615250143891
47,5000000000008;0,37611019615395;2,88657986402541E-15;7,85880159606557E-15;-0,367305349134978;-0,367305349134981
47,6000000000008;0,476110196153951;2,38697950294409E-15;5,20804480647287E-15;-0,458325454492517;-0,45832545449252
47,7000000000008;0,576110196153952;1,99840144432528E-15;3,66836585177581E-15;-0,54476612341102;-0,544766123411022
47,8000000000009;0,676110196153953;1,55431223447522E-15;2,48386461331892E-15;-0,625763669300139;-0,62576366930014
47,9000000000009;0,776110196153954;1,22124532708767E-15;1,74336902260721E-15;-0,700508791455578;-0,700508791455579
48,0000000000009;0,694686130640941;8,88178419700125E-16;1,15609896615427E-15;-0,768254661324213;-0,768254661324213
48,1000000000009;0,59468613064094;5,55111512312578E-16;6,70161983221109E-16;-0,828324384568123;-0,828324384568124
48,2000000000009;0,494686130640939;3,33066907387547E-16;3,78434478738551E-16;-0,880117764369067;-0,880117764369067
48,3000000000009;0,394686130640938;1,11022302462516E-16;1,20268900447803E-16;-0,923117298396687;-0,923117298396688
48,4000000000009;0,294686130640937;0;0;-0,956893349520737;-0,956893349520737
48,5000000000009;0,194686130640936;1,11022302462516E-16;1,13160072927892E-16;-0,981108438603263;-0,981108438603263
48,6000000000009;0,0946861306409348;1,11022302462516E-16;1,1152185160688E-16;-0,995520616478597;-0,995520616478597
48,7000000000009;0,00531386935907188;1,11022302462516E-16;1,11023869960858E-16;-0,99998588142944;-0,99998588142944
48,8000000000009;0,105313869359073;4,44089209850063E-16;4,46563341346342E-16;-0,994459618004424;-0,994459618004424
48,9000000000009;0,205313869359074;7,7715611723761E-16;7,93828871039419E-16;-0,978997042800953;-0,978997042800952
49,0000000000009;0,305313869359075;1,11022302462516E-15;1,16405760069267E-15;-0,953752652759211;-0,95375265275921
49,1000000000009;0,405313869359076;1,22124532708767E-15;1,32891584070387E-15;-0,91897868147981;-0,918978681479809
49,2000000000009;0,505313869359077;1,33226762955019E-15;1,52255228783862E-15;-0,875022578989027;-0,875022578989026
49,3000000000009;0,605313869359078;1,33226762955019E-15;1,62012585622287E-15;-0,822323540132994;-0,822323540132993
49,4000000000009;0,705313869359079;1,33226762955019E-15;1,7497418283972E-15;-0,761408116287974;-0,761408116287973
49,5000000000009;0,765482457435816;1,22124532708767E-15;1,76255137252827E-15;-0,692884954233066;-0,692884954233064
49,6000000000009;0,665482457435815;9,99200722162641E-16;1,61829943326882E-15;-0,617438714752774;-0,617438714752773
49,7000000000009;0,565482457435814;7,7715611723761E-16;1,45039645766085E-15;-0,535823231732777;-0,535823231732776
49,8000000000009;0,465482457435813;6,10622663543836E-16;1,36040380750673E-15;-0,448853980100917;-0,448853980100917
49,9000000000009;0,365482457435812;2,77555756156289E-16;7,76597124150082E-16;-0,357399927871288;-0,357399927871288
