x;g_ginvx;absoluteError;relativeError
-0,124;-0,124;2,77555756156289E-17;2,23835287222814E-16
-0,123;-0,123;9,71445146547012E-17;7,89792802070743E-16
-0,122;-0,122;4,16333634234434E-17;3,4125707724134E-16
-0,121;-0,121;6,93889390390723E-17;5,73462306108037E-16
-0,12;-0,12;1,38777878078145E-17;1,15648231731787E-16
-0,119;-0,119;8,32667268468867E-17;6,99720393671319E-16
-0,118;-0,118;2,77555756156289E-17;2,35216742505331E-16
-0,117;-0,117;5,55111512312578E-17;4,74454284027846E-16
-0,116;-0,116;8,32667268468867E-17;7,17816610749025E-16
-0,115;-0,115;4,16333634234434E-17;3,62029247160378E-16
-0,114;-0,114;1,38777878078145E-17;1,21734980770303E-16
-0,113;-0,113;8,32667268468867E-17;7,36873688910505E-16
-0,112;-0,112;2,77555756156289E-17;2,47817639425259E-16
-0,111;-0,111;4,16333634234434E-17;3,75075346157149E-16
-0,11;-0,11;0;0
-0,109;-0,109;1,38777878078145E-17;1,27319154200133E-16
-0,108;-0,108;4,16333634234434E-17;3,85494105772625E-16
-0,107;-0,107;9,71445146547012E-17;9,07892660324314E-16
-0,106;-0,106;6,93889390390723E-17;6,54612632444081E-16
-0,105;-0,105;4,16333634234434E-17;3,96508223080415E-16
-0,104;-0,104;9,71445146547012E-17;9,34081871679822E-16
-0,103;-0,103;0;0
-0,102;-0,102;6,93889390390723E-17;6,80283716069339E-16
-0,101;-0,101;4,16333634234434E-17;4,12211519043995E-16
-0,0999999999999996;-0,0999999999999997;2,77555756156289E-17;2,7755575615629E-16
-0,0989999999999996;-0,0989999999999996;4,16333634234434E-17;4,20539024479228E-16
-0,0979999999999996;-0,0979999999999997;5,55111512312578E-17;5,66440318686306E-16
-0,0969999999999996;-0,0969999999999996;4,16333634234434E-17;4,29209932200449E-16
-0,0959999999999996;-0,0959999999999996;2,77555756156289E-17;2,89120579329469E-16
-0,0949999999999996;-0,0949999999999995;9,71445146547012E-17;1,02257383847054E-15
-0,0939999999999996;-0,0939999999999996;5,55111512312578E-17;5,9054416203466E-16
-0,0929999999999996;-0,0929999999999996;2,77555756156289E-17;2,9844704963042E-16
-0,0919999999999996;-0,0919999999999996;2,77555756156289E-17;3,01691039300316E-16
-0,0909999999999996;-0,0909999999999997;9,71445146547012E-17;1,06752213906265E-15
-0,0899999999999996;-0,0899999999999996;2,77555756156289E-17;3,083952846181E-16
-0,0889999999999996;-0,0889999999999997;4,16333634234434E-17;4,6779060026341E-16
-0,0879999999999996;-0,0879999999999996;2,77555756156289E-17;3,15404268359421E-16
-0,0869999999999996;-0,0869999999999996;6,93889390390723E-17;7,97574011943364E-16
-0,0859999999999996;-0,0859999999999996;0;0
-0,0849999999999996;-0,0849999999999996;4,16333634234434E-17;4,89804275569924E-16
-0,0839999999999996;-0,0839999999999996;6,93889390390723E-17;8,26058798084198E-16
-0,0829999999999996;-0,0829999999999997;9,71445146547012E-17;1,17041583921327E-15
-0,0819999999999996;-0,0819999999999997;8,32667268468867E-17;1,01544788837667E-15
-0,0809999999999996;-0,0809999999999997;6,93889390390723E-17;8,56653568383612E-16
-0,0799999999999996;-0,0799999999999995;8,32667268468867E-17;1,04083408558609E-15
-0,0789999999999996;-0,0789999999999995;1,11022302462516E-16;1,40534560079135E-15
-0,0779999999999996;-0,0779999999999995;8,32667268468867E-17;1,06752213906266E-15
-0,0769999999999996;-0,0769999999999996;1,38777878078145E-17;1,80231010491098E-16
-0,0759999999999996;-0,0759999999999995;8,32667268468867E-17;1,09561482693273E-15
-0,0749999999999996;-0,0749999999999996;6,93889390390723E-17;9,25185853854303E-16
-0,0739999999999996;-0,0739999999999997;4,16333634234434E-17;5,62613019235724E-16
-0,0729999999999996;-0,0729999999999997;6,93889390390723E-17;9,50533411494145E-16
-0,0719999999999996;-0,0719999999999997;5,55111512312578E-17;7,70988211545251E-16
-0,0709999999999996;-0,0709999999999996;4,16333634234434E-17;5,86385400330192E-16
-0,0699999999999996;-0,0699999999999995;6,93889390390723E-17;9,91270557701039E-16
-0,0689999999999996;-0,0689999999999995;1,11022302462516E-16;1,60901887626835E-15
-0,0679999999999996;-0,0679999999999996;1,38777878078145E-17;2,04085114820802E-16
-0,0669999999999996;-0,0669999999999996;2,77555756156289E-17;4,1426232262133E-16
-0,0659999999999996;-0,0659999999999996;2,77555756156289E-17;4,20539024479228E-16
-0,0649999999999996;-0,0649999999999995;8,32667268468867E-17;1,28102656687519E-15
-0,0639999999999996;-0,0639999999999996;1,38777878078145E-17;2,16840434497102E-16
-0,0629999999999996;-0,0629999999999995;1,11022302462516E-16;1,76225876924629E-15
-0,0619999999999996;-0,0619999999999997;7,63278329429795E-17;1,23109407972548E-15
-0,0609999999999996;-0,0609999999999996;4,85722573273506E-17;7,9626651356313E-16
