x;g_ginvx;absoluteError;relativeError
-36,1999999999998;-36,1999999999999;4,9737991503207E-14;1,37397766583445E-15
-36,0999999999998;-36,0999999999998;3,5527136788005E-14;9,84131212964134E-16
-35,9999999999998;-35,9999999999998;2,8421709430404E-14;7,89491928622339E-16
-35,8999999999998;-35,8999999999998;1,4210854715202E-14;3,95845535242398E-16
-35,7999999999998;-35,7999999999998;7,105427357601E-15;1,98475624513996E-16
-35,6999999999998;-35,6999999999998;7,105427357601E-15;1,99031578644287E-16
-35,5999999999998;-35,5999999999999;7,105427357601E-14;1,99590656112388E-15
-35,4999999999998;-35,4999999999998;1,4210854715202E-14;4,00305766625411E-16
-35,3999999999998;-35,3999999999998;1,4210854715202E-14;4,01436573875765E-16
-35,2999999999998;-35,2999999999999;6,3948846218409E-14;1,81158204584729E-15
-35,1999999999998;-35,1999999999998;4,9737991503207E-14;1,41301112225021E-15
-35,0999999999998;-35,0999999999999;6,3948846218409E-14;1,82190445066693E-15
-34,9999999999998;-34,9999999999998;2,1316282072803E-14;6,09036630651518E-16
-34,8999999999998;-34,8999999999998;0;0
-34,7999999999998;-34,7999999999998;1,4210854715202E-14;4,08357894115002E-16
-34,6999999999998;-34,6999999999998;3,5527136788005E-14;1,02383679504338E-15
-34,5999999999998;-34,5999999999998;0;0
-34,4999999999998;-34,4999999999998;5,6843418860808E-14;1,64763532929879E-15
-34,3999999999998;-34,3999999999998;3,5527136788005E-14;1,03276560430248E-15
-34,2999999999998;-34,2999999999998;1,4210854715202E-14;4,14310633096271E-16
-34,1999999999998;-34,1999999999998;7,105427357601E-15;2,07761033847984E-16
-34,0999999999998;-34,0999999999998;1,4210854715202E-14;4,16740607483932E-16
-33,9999999999998;-33,9999999999998;2,1316282072803E-14;6,26949472729504E-16
-33,8999999999998;-33,8999999999998;0;0
-33,7999999999998;-33,7999999999998;1,4210854715202E-14;4,20439488615447E-16
-33,6999999999998;-33,6999999999998;5,6843418860808E-14;1,68674833414861E-15
-33,5999999999998;-33,5999999999998;3,5527136788005E-14;1,05735526154777E-15
-33,4999999999998;-33,4999999999998;6,3948846218409E-14;1,90892078263909E-15
-33,3999999999998;-33,3999999999998;7,105427357601E-15;2,1273734603596E-16
-33,2999999999998;-33,2999999999998;1,4210854715202E-14;4,26752393849913E-16
-33,1999999999998;-33,1999999999997;2,8421709430404E-14;8,5607558525314E-16
-33,0999999999998;-33,0999999999998;7,105427357601E-15;2,14665479081603E-16
-32,9999999999998;-32,9999999999997;2,1316282072803E-14;6,45947941600096E-16
-32,8999999999998;-32,8999999999998;2,1316282072803E-14;6,47911309203743E-16
-32,7999999999998;-32,7999999999997;7,105427357601E-15;2,16628882853691E-16
-32,6999999999998;-32,6999999999997;2,8421709430404E-14;8,69165426006246E-16
-32,5999999999998;-32,5999999999998;0;0
-32,4999999999998;-32,4999999999998;2,1316282072803E-14;6,55885602240097E-16
-32,3999999999998;-32,3999999999998;3,5527136788005E-14;1,09651656753103E-15
-32,2999999999997;-32,2999999999997;1,4210854715202E-14;4,3996454226632E-16
-32,1999999999997;-32,1999999999998;7,105427357601E-15;2,20665445888232E-16
-32,0999999999997;-32,0999999999998;4,9737991503207E-14;1,54947014028683E-15
-31,9999999999997;-31,9999999999997;2,48689957516035E-14;7,77156117237616E-16
-31,8999999999997;-31,8999999999998;5,32907051820075E-14;1,67055502137956E-15
-31,7999999999997;-31,7999999999998;5,32907051820075E-14;1,67580833905685E-15
-31,6999999999997;-31,6999999999997;3,5527136788005E-15;1,1207298671295E-16
-31,5999999999997;-31,5999999999997;1,77635683940025E-14;5,6213824031654E-16
-31,4999999999997;-31,4999999999997;0;0
-31,3999999999997;-31,3999999999997;2,48689957516035E-14;7,92006234127508E-16
-31,2999999999997;-31,2999999999997;2,48689957516035E-14;7,94536605482548E-16
-31,1999999999997;-31,1999999999998;4,9737991503207E-14;1,59416639433357E-15
